,Name,Revenue (USD millions)
0,Walmart,"648,125"
1,Amazon,"574,785"
2,Apple,"383,482"
3,UnitedHealth Group,"371,622"
4,Berkshire Hathaway,"364,482"
5,CVS Health,"357,776"
6,ExxonMobil,"344,582"
7,Alphabet,"307,394"
8,McKesson Corporation,"276,711"
9,Cencora,"262,173"
10,Costco,"242,290"
11,JPMorgan Chase,"239,425"
12,Microsoft,"211,915"
13,Cardinal Health,"205,012"
14,Chevron Corporation,"200,949"
15,Cigna,"195,265"
16,Ford Motor Company,"176,191"
17,Bank of America,"171,912"
18,General Motors,"171,842"
19,Elevance Health,"171,340"
20,Citigroup,"156,820"
21,Centene,"153,999"
22,The Home Depot,"152,669"
23,Marathon Petroleum,"150,307"
24,Kroger,"150,039"
25,Phillips 66,"149,890"
26,Fannie Mae,"141,240"
27,Walgreens Boots Alliance,"139,081"
28,Valero Energy,"139,001"
29,Meta Platforms,"134,902"
30,Verizon Communications,"133,974"
31,AT&T,"122,428"
32,Comcast,"121,572"
33,Wells Fargo,"115,340"
34,Goldman Sachs,"108,418"
35,Freddie Mac,"108,050"
36,Target Corporation,"107,412"
37,Humana,"106,374"
38,State Farm,"104,199"
39,Tesla,"96,773"
40,Morgan Stanley,"96,194"
41,Johnson & Johnson,"95,195"
42,Archer Daniels Midland,"93,935"
43,PepsiCo,"91,471"
44,United Parcel Service,"90,958"
45,FedEx,"90,155"
46,The Walt Disney Company,"88,898"
47,Dell Technologies,"88,425"
48,Lowe's,"86,377"
49,Procter & Gamble,"82,006"
50,Energy Transfer Partners,"78,586"
51,Boeing,"77,794"
52,Albertsons,"77,650"
53,Sysco,"76,325"
54,RTX Corporation,"68,920"
55,General Electric,"67,954"
56,Lockheed Martin,"67,571"
57,American Express,"67,364"
58,Caterpillar,"67,060"
59,MetLife,"66,905"
60,HCA Healthcare,"64,968"
61,Progressive Corporation,"62,109"
62,IBM,"61,860"
63,John Deere,"61,251"
64,Nvidia,"60,922"
65,StoneX Group,"60,856"
66,Merck & Co.,"60,115"
67,ConocoPhillips,"58,574"
68,Pfizer,"58,496"
69,Delta Air Lines,"58,048"
70,TD Synnex,"57,555"
71,Publix,"57,534"
72,Allstate,"57,094"
73,Cisco,"56,998"
74,Nationwide Mutual Insurance Company,"54,609"
75,Charter Communications,"54,607"
76,AbbVie,"54,317"
77,New York Life Insurance Company,"54,317"
78,Intel,"54,228"
79,TJX,"49,936"
80,Prudential Financial,"53,979"
81,HP,"53,718"
82,United Airlines,"53,717"
83,Performance Food Group,"53,355"
84,Tyson Foods,"52,788"
85,American Airlines,"52,788"
86,Liberty Mutual,"52,612"
87,Nike,"51,217"
88,Oracle Corporation,"49,954"
89,Enterprise Products,"49,715"
90,Capital One Financial,"49,484"
91,Plains All American Pipeline,"48,712"
92,World Kinect Corporation,"47,711"
93,AIG,"46,802"
94,Coca-Cola,"45,754"
95,TIAA,"45,735"
96,CHS,"45,590"
97,Bristol-Myers Squibb,"45,006"
98,Dow Chemical Company,"44,622"
99,Best Buy,"43,452"
